,filename_record,support0,support1,acc01_frm,p1_frm,r1_frm,f1_frm,fp_rate,fn_rate,boundary_win,p1_sbr,r1_sbr,f1_sbr,r2e_deviation1,e2r_deviation1,p01_sbr,r01_sbr,f01_sbr,r2e_deviation01,e2r_deviation01,p_pairwise,r_pairwise,f_pairwise,nce_over,nce_under,nce_f,rand_index,adjrand_index,mutual_info,adjmutual_info,normmutual_info
0,ChopinOp66,200,660,0.579069767442,0.920903954802,0.493939393939,0.642998027613,0.14,0.506060606061,0.568888888889,0.720930232558,0.659574468085,0.688888888889,0.2345,0.178,0.727272727273,0.666666666667,0.695652173913,0.225,0.175,0.650053089158,0.521000968951,0.578416149068,0.0967699863196,0.29167322566,0.145324789758,0.511936540596,0.0154158250698,0.0513742356948,0.0750391771904,0.0847556717927
1,ChopinOp28No20,277,783,0.539622641509,0.792079207921,0.510855683269,0.621118012422,0.379061371841,0.489144316731,0.557278911565,0.760869565217,0.35,0.479452054795,0.567,0.115,0.770833333333,0.362745098039,0.493333333333,0.55,0.1055,0.616092813039,0.502699061209,0.553649496142,0.011389625072,0.181051161091,0.021431058195,0.502670728883,0.00505155075026,0.0067817780399,0.00912303899326,0.0107562219657
2,ChopinOp10No3,271,849,0.691964285714,0.822250639386,0.757361601885,0.788473329246,0.512915129151,0.242638398115,0.54566893424,0.535714285714,0.75,0.625,0.2095,0.2025,0.543859649123,0.756097560976,0.632653061224,0.1835,0.1935,0.678274141376,0.619715504046,0.647673889983,0.152178141296,0.237349356052,0.185452293293,0.573319609345,0.109643051208,0.0247044192227,0.0396404572841,0.0424398926912
3,ChopinB49,444,1111,0.581993569132,0.90796460177,0.461746174617,0.612171837709,0.117117117117,0.538253825383,0.417959183673,0.612903225806,0.506666666667,0.554744525547,0.398,0.2305,0.619047619048,0.513157894737,0.561151079137,0.3945,0.2075,0.597629780315,0.542405003979,0.568679811942,0.139783985923,0.222330465093,0.171648706732,0.513132792876,0.0128448453792,0.0590617019089,0.0896794928495,0.0943392868142
4,ChopinOp28No15,309,611,0.590217391304,0.854545454545,0.461538461538,0.599362380446,0.155339805825,0.538461538462,0.394739229025,0.603773584906,0.5,0.547008547009,0.3635,0.1385,0.611111111111,0.507692307692,0.554621848739,0.3125,0.1325,0.564089633398,0.549860862354,0.556884374033,0.129445778579,0.150229719855,0.139065475247,0.515751998865,0.0232783420986,0.0492418216551,0.074675269095,0.0762941507709
5,ChopinOp28No4,325,995,0.686363636364,0.81679389313,0.752763819095,0.783472803347,0.516923076923,0.247236180905,0.522448979592,0.760416666667,0.528985507246,0.623931623932,0.359,0.1245,0.765306122449,0.535714285714,0.63025210084,0.357,0.1185,0.671741295717,0.615052132355,0.642148004969,0.145783970019,0.228241884029,0.177923571958,0.569136398098,0.103475431755,0.0231933808982,0.0371009797499,0.0395780217278
6,ChopinOp28No7,69,291,0.683333333333,0.915492957746,0.670103092784,0.77380952381,0.260869565217,0.329896907216,0.615328798186,0.678571428571,0.558823529412,0.612903225806,0.4035,0.328,0.7,0.583333333333,0.636363636364,0.398,0.32,0.747635774115,0.55910284906,0.639768786127,0.101809003925,0.37248102755,0.159910265362,0.566016713092,0.121753979725,0.0536676372702,0.0774510564706,0.0933619059524
7,ChopinOp23No1,358,722,0.567592592593,0.785234899329,0.486149584488,0.600513259196,0.268156424581,0.513850415512,0.499229024943,0.650943396226,0.584745762712,0.616071428571,0.278,0.1815,0.657407407407,0.591666666667,0.622807017544,0.2645,0.1725,0.562402196798,0.520525228444,0.540654018251,0.0530139582569,0.114144268598,0.0724013362019,0.50843373494,0.0137037923188,0.0218420328382,0.0315416764762,0.0332595342313
8,ChopinOp28No6,292,788,0.632407407407,0.818923327896,0.637055837563,0.716630977873,0.380136986301,0.362944162437,0.650158730159,0.768518518519,0.703389830508,0.734513274336,0.236,0.1225,0.772727272727,0.708333333333,0.739130434783,0.2225,0.122,0.637341466789,0.53579208314,0.582171590238,0.0513747483373,0.19615605652,0.0814239508037,0.534632547283,0.0658555140851,0.0264447079459,0.0380104942007,0.0418551514408
9,ChopinOp69No2,189,591,0.446153846154,0.92513368984,0.292724196277,0.444730077121,0.0740740740741,0.707275803723,0.476009070295,0.638888888889,0.479166666667,0.547619047619,0.352,0.194,0.648648648649,0.489795918367,0.558139534884,0.343,0.1805,0.60827082869,0.610829156061,0.609547308002,0.246823631625,0.242580373597,0.244683607544,0.505164411968,-0.065838795345,0.0287221127656,0.0507670506902,0.0520089913462
